レース情報,馬番,馬名,騎手名,基準オッズ,基準人気順位,ラップ適性,ラップキャラ,展開順位,展開ゴール差,先行力,追走力,持久力,持続力,瞬発力,ＳＴ指数,仕上指数,合計値,合計値順位,,先行力順位,追走力順位,持久力順位,持続力順位,瞬発力順位,ＳＴ指数順位,仕上指数順位,着,人,単勝
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,01,アサケボス,西村淳,36.3,10,中速スタミナ,ピッタリ,9,20,49,49,48,48,48,11,24,-45,14,,10.0,10.0,8.0,8.0,8.0,13.0,12.0,14,14,240.6
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,02,デンコウハピネス,太宰啓,20.8,7,低速スタミナ,カスリ,2,2,57,58,56,74,72,37,25,-18,6,,4.0,3.0,5.0,1.0,1.0,2.0,11.0,3,5,18.5
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,03,イズジョークラウン,秋山真,20.1,6,中速スタミナ,ピッタリ,8,17,53,50,39,49,51,24,34,-22,7,,8.0,9.0,11.0,7.0,7.0,8.0,6.0,8,10,88.8
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,04,アマノコマンダー,水口優,59.8,13,中速スタミナ,ピッタリ,10,21,52,53,56,42,41,13,23,-44,13,,9.0,8.0,5.0,11.0,11.0,10.0,14.0,6,13,217.6
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,05,ドストエフスキー,服部寿,41.4,11,超高速スタミナ,,14,34,32,35,68,41,37,18,27,-35,9,,13.0,13.0,1.0,12.0,13.0,9.0,10.0,10,12,142.9
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,06,ミヤジアルフィー,川又賢,25.0,9,中速スタミナ,ピッタリ,7,17,55,54,42,45,47,26,40,-14,5,,7.0,6.0,10.0,9.0,10.0,7.0,3.0,4,7,43.4
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,07,ブルベアイリーデ,和田竜,2.8,2,中速スタミナ,ピッタリ,1,0,61,64,60,65,62,39,40,-1,1,,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2,1,1.5
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,08,メイショウペルム,富田暁,61.7,14,超高速持続,,11,29,44,44,53,38,38,11,33,-36,10,,11.0,11.0,7.0,13.0,12.0,13.0,7.0,12,11,127.8
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,09,ゴルヴァ,幸英明,9.2,4,中速スタミナ,ピッタリ,3,8,57,54,38,56,59,33,40,-7,4,,4.0,6.0,13.0,3.0,3.0,3.0,3.0,1,4,17.5
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,10,スカートフワリ,鮫島良,48.5,12,超高速底力,,13,33,37,39,59,36,35,13,24,-43,12,,12.0,12.0,4.0,14.0,14.0,10.0,12.0,7,9,81.3
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,11,アカマ,川須栄,17.6,5,中速スタミナ,ピッタリ,5,12,57,55,39,52,54,29,28,-23,8,,4.0,5.0,11.0,6.0,5.0,6.0,9.0,13,6,36.2
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,12,ラガーエタンセル,小牧太,24.0,8,超高速持続,,12,32,30,27,37,45,48,13,30,-37,11,,14.0,14.0,14.0,9.0,8.0,10.0,8.0,9,8,52.3
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,13,キタノシャンシャン,鮫島駿,7.7,3,中速スタミナ,ピッタリ,6,13,59,61,62,55,52,32,42,-6,3,,2.0,2.0,2.0,4.0,6.0,5.0,1.0,5,3,10.4
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,14,スマートレグルス,武　豊,2.4,1,中速スタミナ,ピッタリ,4,11,58,57,43,54,55,33,41,-6,2,,3.0,4.0,9.0,5.0,4.0,3.0,2.0,11,2,3.8
小倉2R　２歳未勝利２歳(馬齢)　芝2000ｍ　10:30発走,01,ブラックアイドタフ,武　豊,4.3,3,低速瞬発,,5,9,29,33,53,58,57,32,43,-11,4,,8.0,8.0,5.0,2.0,2.0,5.0,2.0,2,3,4.8
小倉2R　２歳未勝利２歳(馬齢)　芝2000ｍ　10:30発走,02,エイシンボールディ,松山弘,14.1,6,中速持続,カスリ,2,3,56,58,58,52,48,34,33,-19,6,,2.0,2.0,2.0,5.0,6.0,4.0,7.0,4,6,15.9
小倉2R　２歳未勝利２歳(馬齢)　芝2000ｍ　10:30発走,03,リヴィエラ,幸英明,5.3,4,中速瞬発,,4,8,51,56,64,55,49,37,43,-6,2,,6.0,3.0,1.0,4.0,5.0,2.0,2.0,5,4,8.6
小倉2R　２歳未勝利２歳(馬齢)　芝2000ｍ　10:30発走,04,ギャップオブリアル,中井裕,25.1,7,中速持続,カスリ,7,19,64,64,55,36,33,28,27,-31,7,,1.0,1.0,4.0,7.0,8.0,7.0,8.0,6,7,62.1
小倉2R　２歳未勝利２歳(馬齢)　芝2000ｍ　10:30発走,05,エレヴァルアスール,和田竜,2.8,1,中速持続,カスリ,3,5,53,55,56,58,55,35,43,-8,3,,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3,2,3.1
小倉2R　２歳未勝利２歳(馬齢)　芝2000ｍ　10:30発走,06,テイエムヒッパシレ,高倉稜,26.8,8,超高速スタミナ,,8,21,52,48,38,32,38,3,40,-43,8,,5.0,5.0,6.0,8.0,7.0,6.0,6.0,8,8,121.9
小倉2R　２歳未勝利２歳(馬齢)　芝2000ｍ　10:30発走,07,ペプチドフシチョウ,酒井学,8.2,5,中速瞬発,,6,16,53,48,38,48,54,27,43,-16,5,,3.0,5.0,6.0,6.0,4.0,8.0,2.0,7,5,9.0
小倉2R　２歳未勝利２歳(馬齢)　芝2000ｍ　10:30発走,08,ミヤケ,浜中俊,3.1,2,超低速瞬発,,1,0,41,38,37,61,67,42,49,5,1,,7.0,7.0,8.0,1.0,1.0,1.0,1.0,1,1,2.7
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,01,ファストフラッシュ,幸英明,8.4,5,超低速持続,,15,23,66,51,43,35,36,9,37,-42,16,,1.0,8.0,14.0,14.0,15.0,1.0,12.0,7,10,26.2
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,02,タニオブスカイ,北村友,11.2,8,超低速底力,カスリ,6,7,48,42,42,53,62,43,44,-1,4,,9.0,15.0,15.0,6.0,2.0,5.0,3.0,3,3,5.4
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,03,ダイシンソルス,国分優,47.9,14,超低速バランス,,16,46,51,48,48,28,21,19,41,-28,12,,8.0,12.0,12.0,16.0,16.0,16.0,10.0,中止,13,267.1
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,04,メイショウレイロウ,荻野極,29.1,12,超低速瞬発,,14,21,40,17,16,30,53,24,27,-37,15,,14.0,16.0,16.0,15.0,6.0,13.0,15.0,10,12,59.9
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,05,マージェリー,浜中俊,13.4,9,低速瞬発,,12,16,45,45,46,47,49,20,35,-33,14,,11.0,14.0,13.0,13.0,10.0,15.0,13.0,4,11,30.7
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,06,アトス,アヴド,7.5,3,超低速スタミナ,ピッタリ,3,2,58,57,53,55,54,45,44,1,3,,5.0,3.0,8.0,4.0,5.0,2.0,3.0,2,2,5.3
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,07,メイショウオンタケ,難波剛,58.2,16,中速底力,,5,6,31,47,57,66,66,33,24,-31,13,,16.0,13.0,2.0,1.0,1.0,9.0,16.0,8,15,325.3
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,08,スプリングスマイル,武　豊,5.2,2,中速持続,,9,12,48,54,55,53,49,33,44,-11,7,,9.0,6.0,5.0,6.0,10.0,9.0,3.0,6,5,8.6
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,09,サンライズブリッツ,松山弘,5.0,1,超低速スタミナ,ピッタリ,1,0,66,60,54,53,50,38,46,-4,6,,1.0,2.0,7.0,6.0,8.0,8.0,2.0,13,1,3.9
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,10,サイモンバイタル,和田竜,27.5,11,超低速底力,カスリ,8,12,41,49,53,54,53,45,44,1,2,,12.0,11.0,8.0,5.0,6.0,2.0,3.0,9,9,25.0
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,11,モンテガナール,田中健,50.8,15,超低速持続,,7,7,41,51,56,59,58,42,31,-15,9,,12.0,8.0,4.0,3.0,3.0,6.0,14.0,11,16,349.6
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,12,ペプチドバンブー,富田暁,8.4,6,高速底力,,13,21,38,51,57,51,45,25,44,-19,10,,15.0,8.0,2.0,11.0,14.0,12.0,3.0,1,4,6.8
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,13,レッドルーク,太宰啓,8.8,7,中速バランス,,4,6,59,57,53,52,49,33,44,-11,8,,4.0,3.0,8.0,9.0,10.0,9.0,3.0,14,6,10.9
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,14,フィナリザール,川又賢,23.7,10,超低速底力,カスリ,2,1,62,63,58,61,57,45,50,7,1,,3.0,1.0,1.0,2.0,4.0,2.0,1.0,5,8,16.7
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,15,レーヌビクトリア,西村淳,7.6,4,低速スタミナ,カスリ,11,15,52,53,53,51,50,40,44,-4,5,,7.0,7.0,8.0,11.0,8.0,7.0,3.0,12,7,14.3
小倉3R　３歳未勝利３歳(馬齢)　ダ1700ｍ　11:00発走,16,オウケンジョーカー,服部寿,42.4,13,,,10,14,53,56,55,52,48,24,39,-25,11,,6.0,5.0,5.0,9.0,13.0,13.0,11.0,15,14,276.0
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,01,イノセント,アヴド,12.0,5,,,6,9,54,53,44,54,55,32,36,-4,6,,6.0,6.0,11.0,6.0,5.0,6.0,2.0,9,4,9.9
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,02,グランプリワン,富田暁,88.8,15,,,10,19,44,43,42,41,42,21,28,-23,12,,10.0,11.0,12.0,13.0,12.0,11.0,14.0,11,14,204.7
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,03,ファルトレク,北村友,8.8,4,,,3,4,55,54,38,61,62,39,36,3,4,,4.0,5.0,13.0,4.0,3.0,3.0,2.0,1,5,13.6
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,04,キンイロノツバサ,酒井学,69.0,14,,,15,28,32,31,35,29,30,13,35,-24,13,,15.0,15.0,14.0,15.0,15.0,15.0,7.0,3,12,158.4
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,05,タイセイスキャット,鮫島駿,43.1,11,,,12,20,43,43,48,46,46,21,32,-19,10,,11.0,11.0,10.0,9.0,9.0,11.0,8.0,7,9,76.1
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,06,タゴム,和田竜,5.5,2,,,1,0,66,66,59,65,64,42,36,6,2,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,13,3,8.0
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,07,オーミサルーテ,義英真,41.9,10,,,11,20,39,42,72,44,42,18,29,-25,15,,14.0,14.0,1.0,12.0,12.0,13.0,13.0,14,13,183.1
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,08,スマートレムリア,松山弘,15.9,6,,,5,6,55,55,51,55,55,33,36,-3,5,,4.0,4.0,7.0,5.0,5.0,5.0,2.0,5,6,16.8
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,09,ヘヴンリーウインド,川須栄,5.5,3,,,4,5,63,64,55,62,62,39,36,3,3,,3.0,3.0,6.0,3.0,3.0,3.0,2.0,4,2,5.8
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,10,メイショウカクミチ,国分優,59.2,13,,,14,21,43,44,59,40,39,18,32,-22,11,,11.0,10.0,2.0,14.0,14.0,13.0,8.0,6,15,275.2
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,11,エクレアスピード,武　豊,2.0,1,,,2,0,69,69,57,66,65,44,45,17,1,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2,1,1.7
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,12,ラフィティ,秋山真,24.3,7,,,7,14,50,50,56,49,48,26,30,-16,8,,7.0,7.0,5.0,7.0,8.0,7.0,12.0,10,8,74.8
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,13,カリッサ,幸英明,29.7,8,,,13,20,43,43,50,45,45,23,32,-17,9,,11.0,11.0,9.0,10.0,10.0,10.0,8.0,12,10,83.0
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,14,ジョーカリン,鮫島良,45.2,12,,,9,18,46,46,51,45,45,24,23,-25,14,,9.0,8.0,7.0,10.0,10.0,9.0,15.0,15,11,103.7
小倉5R　２歳新馬２歳(馬齢)　芝1200ｍ　12:20発走,15,ハクユウフライヤー,川又賢,31.9,9,,,8,18,48,46,33,48,49,26,32,-14,7,,8.0,8.0,15.0,8.0,7.0,7.0,8.0,8,7,50.7
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,01,ルプス,森裕太,52.7,13,中速バランス,カスリ,16,25,60,64,55,41,35,38,45,-13,9,,3.0,1.0,5.0,16.0,17.0,12.0,6.0,13,9,37.2
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,02,コーラルバイン,富田暁,83.0,15,,,6,8,53,52,49,53,55,35,33,-28,13,,6.0,9.0,11.0,7.0,5.0,13.0,16.0,14,13,153.7
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,03,リーザファビュラス,服部寿,51.9,12,超低速スタミナ,,17,29,53,39,33,39,46,20,39,-37,17,,6.0,16.0,17.0,17.0,14.0,17.0,13.0,18,14,155.0
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,04,ダノンキャンディ,アヴド,22.4,7,中速バランス,カスリ,5,7,41,44,54,60,60,49,44,-3,5,,16.0,13.0,7.0,2.0,3.0,3.0,8.0,3,5,11.3
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,05,オアハカ,太宰啓,65.1,14,高速スタミナ,,18,40,79,61,28,16,19,12,47,-37,18,,1.0,3.0,18.0,18.0,18.0,18.0,5.0,17,16,247.0
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,06,レーヌルネサンス,松山弘,27.1,8,中速バランス,カスリ,1,0,49,48,48,56,59,49,30,-17,11,,9.0,11.0,12.0,4.0,4.0,3.0,17.0,11,7,26.4
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,07,ディープエクセル,和田竜,7.5,4,中速底力,カスリ,9,12,57,59,52,47,45,44,45,-7,6,,4.0,4.0,9.0,15.0,15.0,8.0,6.0,2,6,11.8
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,08,アリュマージュ,武　豊,2.7,1,中速バランス,カスリ,2,1,62,57,44,49,52,55,48,7,1,,2.0,6.0,14.0,14.0,8.0,1.0,1.0,12,1,2.1
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,09,メイショウエンゼル,小牧太,33.5,10,中速スタミナ,,10,14,49,52,54,50,48,22,39,-35,16,,9.0,9.0,7.0,12.0,13.0,16.0,13.0,15,12,151.9
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,10,ヒナマツリ,川須栄,29.1,9,中速バランス,カスリ,7,11,55,64,61,56,52,42,44,-10,8,,5.0,1.0,2.0,4.0,8.0,10.0,8.0,8,11,77.4
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,11,ウインドピトレスク,酒井学,20.4,6,中速底力,カスリ,11,14,50,56,57,53,50,46,48,-2,4,,8.0,7.0,4.0,7.0,12.0,6.0,1.0,7,8,30.3
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,12,スエヒロドラ,鮫島駿,49.4,11,中速瞬発,,13,19,45,42,47,51,52,45,25,-26,12,,12.0,14.0,13.0,10.0,8.0,7.0,18.0,6,15,222.9
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,13,アドマイヤビート,浜中俊,8.9,5,中速バランス,カスリ,4,7,46,35,37,53,61,40,40,-16,10,,11.0,17.0,16.0,7.0,2.0,11.0,11.0,5,3,8.7
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,14,ガーネットウィング,鮫島良,83.9,16,超低速持続,,12,17,45,46,51,51,51,28,37,-31,14,,12.0,12.0,10.0,10.0,11.0,14.0,15.0,10,17,267.2
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,15,ナムラユッキー,中井裕,83.9,17,高速バランス,,8,11,38,42,55,62,62,23,40,-33,15,,17.0,14.0,5.0,1.0,1.0,15.0,11.0,16,18,347.1
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,16,レディーキティ,幸英明,6.5,3,高速持続,カスリ,14,20,34,27,43,50,55,47,48,-1,3,,18.0,18.0,15.0,12.0,5.0,5.0,1.0,4,4,9.6
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,17,ゴールドインレイ,水口優,97.9,18,中速底力,カスリ,15,23,42,58,70,54,44,44,43,-9,7,,15.0,5.0,1.0,6.0,16.0,8.0,10.0,8,10,66.3
小倉6R　３歳未勝利３歳(馬齢)　芝2000ｍ　12:50発走,18,アドマイヤカラット,北村友,3.7,2,中速底力,カスリ,3,4,44,53,61,58,55,50,48,2,2,,14.0,8.0,2.0,3.0,5.0,2.0,1.0,1,2,4.4
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,01,トーアセレーネ,服部寿,46.3,13,中速瞬発,,9,16,55,53,50,47,44,36,35,-21,16,,5.0,7.0,8.0,11.0,11.0,13.0,16.0,6,15,270.4
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,02,レッドエクシード,浜中俊,3.3,2,中速持続,ピッタリ,1,0,37,65,75,74,62,50,46,4,6,,14.0,1.0,1.0,1.0,3.0,7.0,4.0,1,1,3.5
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,03,ヤマカツケンザン,岡田祥,40.0,11,超低速底力,,10,16,65,56,46,40,36,45,45,-2,10,,2.0,5.0,10.0,14.0,15.0,10.0,5.0,10,9,21.4
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,04,ナンヨーオートヌ,北村友,43.7,12,高速持続,カスリ,2,3,59,52,45,53,63,34,45,-13,12,,3.0,8.0,13.0,7.0,2.0,15.0,5.0,14,11,59.8
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,05,クリノアリエル,松山弘,18.4,7,高速底力,,3,9,53,52,49,52,54,48,47,3,7,,7.0,8.0,9.0,8.0,7.0,9.0,3.0,5,5,12.3
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,06,ソルフェージュ,アヴド,6.7,3,中速持続,ピッタリ,11,16,51,52,52,49,45,49,45,2,8,,10.0,8.0,6.0,9.0,10.0,8.0,5.0,7,4,8.2
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,07,エターナルソウル,太宰啓,57.2,15,高速瞬発,,6,14,43,41,46,55,66,31,41,-20,15,,12.0,12.0,10.0,6.0,1.0,16.0,13.0,15,12,199.6
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,08,ララシャンパーニュ,荻野極,16.9,6,中速持続,ピッタリ,14,19,37,54,63,56,42,52,45,5,3,,14.0,6.0,2.0,5.0,12.0,3.0,5.0,11,7,16.0
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,09,フリージアスター,酒井学,113.6,16,高速持続,カスリ,13,19,42,41,46,49,55,36,42,-14,14,,13.0,12.0,10.0,9.0,6.0,13.0,12.0,12,16,360.1
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,10,フォロミーバゴ,和田竜,18.8,8,中速持続,ピッタリ,4,9,57,64,60,58,51,51,45,4,4,,4.0,2.0,3.0,2.0,8.0,5.0,5.0,3,6,15.8
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,11,ロードレガリス,幸英明,13.4,5,中速瞬発,,7,16,29,39,53,57,60,53,39,0,9,,16.0,14.0,5.0,3.0,4.0,2.0,15.0,9,10,26.8
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,12,ウィズワンアコード,森裕太,27.2,9,中速底力,カスリ,8,16,66,63,52,43,33,51,45,4,5,,1.0,3.0,6.0,12.0,16.0,5.0,5.0,4,8,16.8
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,13,エアハンコック,武　豊,3.1,1,中速持続,ピッタリ,12,18,53,42,40,42,49,52,49,9,2,,7.0,11.0,14.0,13.0,9.0,3.0,2.0,8,2,3.7
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,14,メラナイト,鮫島駿,6.9,4,中速持続,ピッタリ,5,11,55,58,55,57,58,54,55,17,1,,5.0,4.0,4.0,3.0,5.0,1.0,1.0,2,3,5.0
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,15,ドゥエベリーニ,秋山真,28.1,10,高速持続,カスリ,15,27,46,31,34,34,41,37,41,-14,13,,11.0,16.0,15.0,15.0,13.0,12.0,13.0,16,14,210.3
小倉7R　３歳未勝利３歳(馬齢)　芝1800ｍ　13:20発走,16,ウォーターエルピス,西村淳,51.4,14,低速瞬発,,16,29,53,36,34,33,39,43,45,-4,11,,7.0,15.0,15.0,16.0,14.0,11.0,5.0,13,13,206.2
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,01,エピューレ,幸英明,17.8,9,中速底力,,4,4,57,52,41,44,46,45,51,-8,7,,5.0,7.0,11.0,10.0,11.0,11.0,5.0,7,8,26.9
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,02,タガノプレトリア,鮫島駿,4.0,2,中速底力,,8,9,36,39,57,61,60,52,52,0,3,,13.0,12.0,4.0,2.0,3.0,4.0,2.0,4,2,3.9
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,03,トーホウレジーナ,岡田祥,2.7,1,超高速持続,,5,6,58,55,44,49,51,52,52,0,4,,4.0,5.0,10.0,9.0,7.0,4.0,2.0,6,1,2.3
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,04,アンティグラビティ,水口優,8.9,4,高速スタミナ,ピッタリ,2,1,57,58,51,50,50,48,52,-4,6,,5.0,4.0,8.0,7.0,9.0,9.0,2.0,1,3,7.4
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,05,メイショウヒボタン,西村淳,12.1,5,中速底力,,11,10,41,42,53,55,55,49,34,-21,11,,10.0,10.0,7.0,5.0,5.0,7.0,13.0,5,5,13.9
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,06,マコトタリスマン,和田竜,16.7,8,超低速底力,,1,0,38,45,64,70,66,55,46,-3,5,,12.0,9.0,1.0,1.0,1.0,1.0,8.0,9,9,28.6
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,07,イナズママンボ,川又賢,8.4,3,低速スタミナ,,6,7,43,37,41,58,61,53,64,13,1,,9.0,13.0,11.0,3.0,2.0,2.0,1.0,3,4,8.9
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,08,ナンクルナイサー,川須栄,13.3,6,高速スタミナ,ピッタリ,7,9,60,49,27,44,51,46,46,-12,8,,3.0,8.0,14.0,10.0,7.0,10.0,8.0,2,7,16.4
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,09,レンレン,鮫島良,13.4,7,高速スタミナ,ピッタリ,3,3,51,53,54,58,57,50,41,-13,9,,8.0,6.0,6.0,3.0,4.0,6.0,11.0,12,6,15.1
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,10,アイファーイチオー,高倉稜,29.5,10,超低速瞬発,,12,12,41,35,40,50,53,45,35,-24,13,,10.0,14.0,13.0,7.0,6.0,11.0,12.0,13,13,91.2
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,11,リリーメーカー,富田暁,50.4,14,中速スタミナ,カスリ,13,15,63,63,47,35,35,43,42,-19,10,,2.0,2.0,9.0,14.0,12.0,13.0,10.0,8,12,83.6
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,12,スーセントマリー,藤懸貴,32.7,12,低速スタミナ,,14,29,36,42,62,36,32,11,51,-42,14,,13.0,10.0,2.0,12.0,14.0,14.0,5.0,10,14,157.3
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,13,イイデメモリー,太宰啓,31.7,11,低速スタミナ,,9,10,65,70,57,36,33,53,51,0,2,,1.0,1.0,4.0,12.0,13.0,2.0,5.0,14,11,82.8
小倉8R　３歳上500万下３歳上(定量)　ダ1000ｍ　13:50発走,14,オーミシューマン,畑端省,42.0,13,低速スタミナ,,10,10,53,59,61,53,50,49,31,-24,12,,7.0,3.0,3.0,6.0,9.0,7.0,14.0,11,10,46.3
小倉9R　八幡特別３歳上(定量)　芝1200ｍ　14:25発走,01,ミルトドリーム,幸英明,33.9,12,高速スタミナ,カスリ,11,14,51,52,53,40,41,52,56,-6,11,,8.0,8.0,7.0,15.0,15.0,13.0,7.0,13,14,81.5
小倉9R　八幡特別３歳上(定量)　芝1200ｍ　14:25発走,02,リンガラポップス,北村友,27.3,10,高速底力,,8,12,54,52,46,42,45,47,56,-11,14,,7.0,8.0,12.0,14.0,11.0,16.0,7.0,14,3,10.3
小倉9R　八幡特別３歳上(定量)　芝1200ｍ　14:25発走,03,ペガッソ,森裕太,79.0,18,中速底力,,12,15,55,56,54,45,44,36,56,-22,17,,5.0,3.0,5.0,11.0,12.0,17.0,7.0,17,17,211.0
小倉9R　八幡特別３歳上(定量)　芝1200ｍ　14:25発走,04,サイモンゼーレ,富田暁,8.2,2,高速スタミナ,カスリ,17,17,51,48,42,40,44,48,60,-6,12,,8.0,13.0,16.0,15.0,12.0,14.0,1.0,7,2,6.4
小倉9R　八幡特別３歳上(定量)　芝1200ｍ　14:25発走,05,タイセイブレーク,武　豊,2.0,1,超高速スタミナ,ピッタリ,2,6,38,38,46,74,72,62,57,5,1,,17.0,16.0,12.0,1.0,1.0,1.0,2.0,1,1,1.7
小倉9R　八幡特別３歳上(定量)　芝1200ｍ　14:25発走,06,ナディア,鮫島駿,11.6,4,中速バランス,,13,17,43,52,71,44,38,56,57,-1,4,,14.0,8.0,1.0,13.0,17.0,6.0,2.0,6,7,20.2
