4歳上500万下|小倉|芝|1800|晴|380:160_220_1320:1120:1340:600_3710_8330:2570:25270:104900|20170225,1|エーデルメイシュ|長岡禎仁|3.8|1,2|アグネスザルーツ|秋山真一|5.8|3,3|トモジャクール|原田和真|92.7|15,4|パラノーマル|丹内祐次|25.6|12,5|セルバンテス|菱田裕二|12.5|5,6|ジュヒョウ|丸山元気|6.6|4,7|ウインティアラ|坂井瑠星|18.0|8,8|パヴェダイヤモンド|丸田恭介|24.7|11,9|スズカウルトラ|城戸義政|16.9|7,10|ルーレットクイーン|吉田隼人|13.2|6,11|スズカマドンナ|中谷雄太|22.6|10,12|インペラトーレ|荻野極|5.3|2,13|メイショウメリリー|小崎綾也|57.0|13,14|クリノヴェルサイユ|木幡初也|81.3|14,15|ルージュノアール|藤岡佑介|19.5|9
4歳上1000万下|東京|ダ|1600|晴|610:500_490_6040:420:4080:1230_11290_11700:7190:147630:501320|20170211,1|ゴールデンバローズ|ムーア|6.1|2,2|フィールザプリティ|北村宏司|11.4|4,3|ディアグリスター|吉田豊|157.2|15,4|ダンディーレイ|田中勝春|29.8|7,5|エバーキュート|大野拓弥|6.5|3,6|ニシノオタケビ|井上敏樹|105.3|12,7|ダンカン|石川裕紀|52.2|8,8|アルーアキャロル|ルメール|1.6|1,9|ツインキャンドル|松岡正海|72.1|10,10|エターナルヒーロー|柴山雄一|161.8|16,11|ピントゥリッキオ|木幡巧也|108.6|14,12|コスモボアソルテ|柴田大知|56.7|9,13|ボンナヴァン|戸崎圭太|22.3|6,14|ダイチヴュルデ|野中悠太|94.9|11,15|オーサムレジェンド|田辺裕信|16.3|5,16|エミノマユアク|吉原寛人|105.8|13
2歳未勝利|東京|芝|1400|晴|260:120_120_190:310:590:230_370_510:1120:1440:5240|20171111,1|エスターテ|野中悠太|2.6|1,2|ランウェイデビュー|ルメール|2.9|2,3|テンワールドレイナ|三浦皇成|14.0|4,4|ダウンタウンキラリ|Ｃ．デム|14.6|5,5|エイワファースト|田辺裕信|16.7|6,6|ファーベライト|大野拓弥|28.0|7,7|テルキーネス|蛯名正義|29.2|8,8|モルフェオルフェ|北村宏司|5.9|3,9|ボニータミノル|松岡正海|88.7|9,10|ブライトキャンバス|柴田大知|117.7|11,11|マントラ|内田博幸|117.4|10,12|アースルナ|柴山雄一|299.4|14,13|サノシスター|武藤雅|354.3|15,14|ニシノアストライア|武士沢友|273.9|13,15|コトブキ|田中勝春|204.4|12
湯沢特別|新潟|芝|1200|晴|4130:820_200_770:5850:9590:1480_6580_2500:25710:80760:684620|20160507,1|ショウナンマキシム|中谷雄太|41.3|11,2|ケイアイヴァーゲ|西田雄一|4.2|2,3|エナジータウン|丸田恭介|29.8|9,4|オメガタックスマン|北村友一|12.9|6,5|トキワ|石橋脩|12.8|5,6|ユメノマイホーム|吉田隼人|3.2|1,7|オートクレール|宮崎北斗|15.1|7,8|ゲンキチハヤブサ|岩崎翼|16.0|8,9|ウインベントゥーラ|津村明秀|5.6|3,10|サウンドドゥイット|丸山元気|7.5|4,11|ケントヒーロー|加藤祥太|43.6|12,12|レッドランタン|中井裕二|32.8|10,除|アトリエ|横山和生|---|None
北野特別|京都|芝|2000|晴|210:110_150_160:490:570:260_270_470:800:950:3250|20181021,1|アシュリン|Ｍ．デム|2.1|1,2|アイスバブル|モレイラ|5.2|3,3|リュヌルージュ|福永祐一|7.1|5,4|グラットシエル|ルメール|6.3|4,5|バイオレントブロー|藤岡佑介|28.9|6,6|ハローユニコーン|田辺裕信|70.5|8,7|キボウノダイチ|戸崎圭太|4.5|2,8|トウカイシェーン|松山弘平|230.8|9,9|ウインミレーユ|幸英明|68.3|7
3歳未勝利|中山|ダ|1800|曇|160:110_340_150:1140:1820:590_250_1130:2350:2370:9260|20160312,1|シトロプシス|柴山雄一|1.6|1,2|スクラッタ|三浦皇成|24.3|6,3|ハヤブサプリプリ|内田博幸|4.6|2,4|ダークフォース|杉原誠人|5.3|3,5|アバランチリリー|武士沢友|154.3|12,6|アルティマチャーム|大野拓弥|37.1|7,7|ボールドアテンプト|松岡正海|18.6|5,8|アースビーガ|丸田恭介|136.2|11,9|シアヌークビル|井上敏樹|236.7|14,10|ショショット|柴田大知|172.7|13,11|ルーナディア|岩田康誠|83.7|8,12|ピクニックガーデン|丸山元気|114.8|10,13|セラグリーン|藤田菜七|18.2|4,14|テンキセキ|木幡巧也|94.9|9,15|ファストムーン|宮崎北斗|530.0|16,16|イエスウチダ|嘉藤貴行|375.1|15
3歳未勝利|札幌|ダ|1700|晴|680:180_190_140:2020:2400:640_440_400:5050:2410:17980|20180818,1|シネマソングス|藤岡佑介|6.8|3,2|スイートレモネード|横山武史|8.0|5,3|クインチ|モレイラ|2.7|1,4|ダイヤモンドベガ|吉田隼人|17.6|6,5|ヴォーティブ|松田大作|40.9|10,6|メイショウタンゴ|小崎綾也|8.0|4,7|サンダルース|西村太一|281.1|13,8|ソルファ|池添謙一|18.2|7,9|スプレンジーナ|加藤祥太|24.6|8,10|ハコダテダリア|藤岡康太|61.8|11,11|カワキタロック|古川吉洋|4.0|2,12|キタノタマテバコ|菊沢一樹|30.1|9,13|ジュンサロマ|柴山雄一|77.1|12,取|ショーコーズ|丹内祐次|---|None
3歳500万下|中山|ダ|1800|晴|440:150_200_190:1410:1430:470_460_770:2740:2630:11740|20170226,1|ローズプリンスダム|田辺裕信|4.4|2,2|バスカヴィル|戸崎圭太|7.5|5,3|ティーラウレア|松岡正海|6.2|3,4|サンオークランド|田中博康|6.9|4,5|バリンジャー|北村宏司|33.3|7,6|コットンボウル|柴山雄一|53.4|8,7|エグジットラック|内田博幸|18.2|6,8|レジェンドセラー|ルメール|2.1|1,9|シロクニ|江田照男|204.4|10,10|トミケンカリム|木幡巧也|134.4|9
3歳未勝利|新潟|ダ|1200|晴|290:140_580_340:3250:3030:1090_840_4850:4190:13160:53240|20170430,1|ヘルディン|丸山元気|2.9|1,2|ドナペリドット|石川裕紀|29.2|7,3|キョウワヒラリー|秋山真一|15.3|6,4|グマナスティ|藤田菜七|3.3|2,5|エボニーアイボリー|丸田恭介|8.0|4,6|シャプレドサクレ|荻野極|11.0|5,7|サンレイハリケーン|藤岡康太|43.9|10,8|サウンドビクトリー|中谷雄太|5.7|3,9|ペイシャパッチ|加藤祥太|162.5|14,10|ロイヤルルシアン|井上敏樹|138.6|13,11|トーアポリネシア|横山武史|97.8|12,12|フェアウエル|黛弘人|211.0|15,13|ノアキャッスル|嶋田純次|72.2|11,14|ノーブルムーン|木幡初也|34.9|8,15|モズシャティン|川須栄彦|40.8|9
3歳上500万下|京都|ダ|1200|晴|450:190_180_150:2020:1520:720_500_510:2730:2620:14640|20171111,1|パンサーバローズ|川田将雅|4.5|2,2|チカリータ|藤岡康太|7.0|4,3|ストロベリームーン|池添謙一|3.3|1,4|セングウ|岩崎翼|45.8|11,5|メイショウヤクシマ|小牧太|40.2|9,6|スーパーライナー|松山弘平|4.7|3,7|ダブルスプリット|松田大作|16.9|7,8|メイショウギガース|浜中俊|9.3|5,9|ローゼンタール|岩田康誠|14.8|6,10|ウエスタンビジュー|高倉稜|43.6|10,11|リッカクロフネ|森裕太朗|123.5|15,12|エイシンムー|川須栄彦|68.2|13,13|オーミシューマン|畑端省吾|34.6|8,14|サウンドスカイメサ|国分恭介|93.7|14,15|ヴィクトリアマンボ|藤岡佑介|65.6|12,除|クールゼファー|Ｍ．デム|---|None
障害3歳上未勝利|中山|障|2880|晴|4460:1240_210_250:4700:6440:1240_1800_300:19800:7560:103870|20170909,1|マイネルフェアネス|蓑島靖典|44.6|8,2|マイネルヴァッサー|山本康志|3.4|2,3|アツコ|大江原圭|6.1|3,4|タイセイエナジー|石神深一|1.6|1,5|ナポレオン|高野和馬|44.8|9,6|メジャースターダム|上野翔|22.4|5,7|シゲルヤマアラシ|田村太雅|33.0|7,8|ナンヨーアイリッド|草野太郎|30.2|6,中|マーズアタック|小野寺祐|20.7|4
